"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 Ammunition","DMG'24","228","uncommon","Ammunition, Generic Variant","","","","","","","You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (200 GP). Base items. This item variant can be applied to the following base items:Arrow (+1 Arrow)Bolt (+1 Bolt)Energy Cell (+1 Energy Cell)Firearm Bullet (+1 Firearm Bullet)Needle (+1 Needle)Sling Bullet (+1 Sling Bullet)"
"+1 Antimatter Rifle","DMG'24","324","uncommon","Weapon (Antimatter Rifle), Futuristic, Martial Weapon, Ranged Weapon, Firearm","","6d8 Necrotic","Ammunition (120/360 ft.; Energy Cell), Reload (2 shots), Two‑Handed","Mastery: Sap","10 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"+1 Armor","DMG'24","230","rare","Generic Variant","","","","","","","You have a +1 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+1 Breastplate)Chain Mail (+1 Chain Mail)Chain Shirt (+1 Chain Shirt)Half Plate Armor (+1 Half Plate Armor)Hide Armor (+1 Hide Armor)Leather Armor (+1 Leather Armor)Padded Armor (+1 Padded Armor)Plate Armor (+1 Plate Armor)Ring Mail (+1 Ring Mail)Scale Mail (+1 Scale Mail)Splint Armor (+1 Splint Armor)Studded Leather Armor (+1 Studded Leather Armor)"
"+1 Arrow","DMG'24","228","uncommon","Ammunition (Arrow)","","","","","0.8 oz.","","You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"+1 Automatic Rifle","DMG'24","324","uncommon","Weapon (Automatic Rifle), Modern, Martial Weapon, Ranged Weapon, Firearm","","2d8 Piercing","Ammunition (80/240 ft.; Firearm Bullet), Burst Fire, Reload (30 shots), Two‑Handed","Mastery: Slow","8 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Burst Fire. As an action, you can expend 10 pieces of a Burst Fire weapon's ammunition to spray shots in a 10-foot Cube within the weapon's normal range. Each creature in that area must succeed on a DC 15 Dexterity saving throw or take damage. Roll the weapon's damage once, and apply it to each creature that failed the save. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"+1 Battleaxe","DMG'24","324","uncommon","Weapon (Battleaxe), Martial Weapon, Melee Weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Topple","4 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"+1 Blowgun","DMG'24","324","uncommon","Weapon (Blowgun), Martial Weapon, Ranged Weapon","","1 Piercing","Ammunition (Range 25/100 ft.; Needle), Loading","Mastery: Vex","1 lb.","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"+1 Bolt","DMG'24","228","uncommon","Ammunition (Bolt)","","","","","1.2 oz.","","You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"+1 Breastplate","DMG'24","230","rare","Medium Armor (Breastplate)","","AC 14 + Dex (max 2)","","","20 lb.","","You have a +1 bonus to AC while wearing this armor."
"+1 Chain Mail","DMG'24","230","rare","Heavy Armor (Chain Mail)","","AC 16","","","55 lb.","","You have a +1 bonus to AC while wearing this armor.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
