"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Acid","PHB'24","222","none","Adventuring Gear","","","","","1 lb.","25 GP","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Airship","PHB'24","230","none","Vehicle (Air)","","Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300","","","","40,000 GP","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Alchemist's Fire","PHB'24","222","none","Adventuring Gear","","","","","1 lb.","50 GP","When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning."
"Alchemist's Supplies","PHB'24","220","none","Artisan's Tools","","","","","8 lb.","50 GP","Ability: IntelligenceUtilize: Identify a substance (DC 15), or start a fire (DC 15)Craft: Acid, Alchemist's Fire, Component Pouch, Oil, Paper, PerfumeArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ale (mug)","PHB'24","231","none","Food and Drink","","","","","","4 CP",""
"Alexandrite","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A dark green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amber","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A watery gold to rich gold gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amethyst","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A deep purple gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amulet","PHB'24","226","none","Spellcasting Focus","","","","","1 lb.","5 GP","For an Amulet to be an effective Holy Symbol, it must be worn or held.A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
"Antimatter Rifle","DMG'24","73","none","Weapon, Futuristic, Martial Weapon, Ranged Weapon, Firearm","","6d8 Necrotic","Ammunition (120/360 ft.; Energy Cell), Reload (2 shots), Two‑Handed","Mastery: Sap","10 lb.","","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Antitoxin","PHB'24","222","none","Adventuring Gear","","","","","","50 GP","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour."
"Aquamarine","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A pale blue green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Arcane Focus","PHB'24","224","none","Spellcasting Focus","","","","","","","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus.Multiple variations of this item exist, as listed below:CrystalOrbRodStaffWand"
"Arrow","PHB'24","222","none","Ammunition","","","","","0.8 oz.","5 CP","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Arrows (20)","PHB'24","222","none","Ammunition","","","","","1 lb.","1 GP","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Artisan's Tools","PHB'24","220","none","Artisan's Tools","","","","","","","Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Alchemist's SuppliesBrewer's SuppliesCalligrapher's SuppliesCarpenter's ToolsCartographer's ToolsCobbler's ToolsCook's UtensilsGlassblower's ToolsJeweler's ToolsLeatherworker's ToolsMason's ToolsPainter's SuppliesPotter's ToolsSmith's ToolsTinker's ToolsWeaver's ToolsWoodcarver's Tools"
"Assassin's Blood","DMG'24","90","none","Adventuring Gear, Poison (Ingested)","","","","","","150 GP","A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only."
"Automatic Rifle","DMG'24","73","none","Weapon, Modern, Martial Weapon, Ranged Weapon, Firearm","","2d8 Piercing","Ammunition (80/240 ft.; Firearm Bullet), Burst Fire, Reload (30 shots), Two‑Handed","Mastery: Slow","8 lb.","","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Burst Fire. As an action, you can expend 10 pieces of a Burst Fire weapon's ammunition to spray shots in a 10-foot Cube within the weapon's normal range. Each creature in that area must succeed on a DC 15 Dexterity saving throw or take damage. Roll the weapon's damage once, and apply it to each creature that failed the save. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Azurite","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A mottled deep blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Backpack","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","2 GP","A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag."
"Bagpipes","PHB'24","221","none","Instrument","","","","","6 lb.","30 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ball Bearings","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","1 GP","As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
"Banded Agate","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A striped brown, blue, white, or red gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Barrel","PHB'24","224","none","Adventuring Gear","","","","","70 lb.","2 GP","A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods."
"Basic Poison","PHB'24","227","none","Adventuring Gear, Poison","","","","","","100 GP","As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first."
"Basket","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","4 SP","A Basket holds up to 40 pounds within 2 cubic feet."
"Battleaxe","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Topple","4 lb.","10 GP","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Bedroll","PHB'24","224","none","Adventuring Gear","","","","","7 lb.","1 GP","A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold (see the Dungeon Master's Guide)."
